UMAP 0,UMAP 1,cell_type,gene_0,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6,gene_7
-15.969439,-13.250383,Naive CD20+ B IGKC+,IGKC,HLA-DRA,IGHM,CD79A,CD74,IGHD,CD37,HLA-DRB1
16.106962,0.6201749,CD14+ Mono,S100A8,S100A9,LYZ,CTSS,NEAT1,FCN1,JUNB,VCAN
-16.980782,-10.89716,Naive CD20+ B IGKC+,IGKC,IGHM,CD74,HLA-DRA,IGHD,TCL1A,CD79B,NEAT1
19.387436,-17.123608,Reticulocyte,MALAT1,HBD,HBM,HBB,HBA2,AHSP,HBA1,BLVRB
7.153736,-20.757275,Normoblast,HBD,HBM,HBB,AHSP,CA1,HBA1,HBA2,SLC25A37
17.864262,2.2681923,CD14+ Mono,S100A9,S100A8,LYZ,FCN1,CTSS,S100A12,PSAP,VCAN
-8.156529,8.031578,CD4+ T naive,FOS,JUNB,CD69,ARL4C,IL7R,TRBC2,EGR1,TRAC
6.6964836,-20.222172,Normoblast,HBM,HBD,HBB,CA1,SLC25A37,AHSP,HBA1,SLC4A1
4.2548203,-20.687214,Erythroblast,HBD,HBM,AHSP,CA1,HBB,HBA1,HBA2,SLC4A1
-6.999751,7.8991556,CD4+ T naive,FOS,TRBC1,ARL4C,TRAT1,AL499604.1,CD8,JUN,HIST1H4C
-18.483074,-10.831036,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,DUSP2,CD74,HBA2,CD79B,IGHD
4.582449,18.829779,NK,NKG7,GNLY,CCL4,CCL5,GZMA,TYROBP,CLIC3,KLRB1
-13.871803,-7.162999,Naive CD20+ B IGKC-,IGHM,HLA-DRA,CD74,MS4A1,CD37,CD79B,IGLC2,CD79A
5.390154,19.380676,NK,GNLY,CCL4,NKG7,GZMB,CCL5,GZMA,KLRB1,JUN
-18.611198,-10.670645,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,CD74,DUSP2,CD79B,CD79A,HLA-DRB1
-6.558134,10.876093,CD4+ T activated,ANXA1,KLF6,AHNAK,MALAT1,SAT1,NEAT1,GPR183,PRKCQ-AS1
19.647638,-16.088749,Reticulocyte,HBD,MALAT1,HBB,HBA2,CA1,AHSP,HBA1,JUN
-8.05346,6.4751134,CD4+ T naive,JUNB,EGR1,TRAT1,ARL4C,PCED1B-AS1,TRAC,HBA2,NFKBIZ
-14.9073105,-7.0778575,Naive CD20+ B IGKC-,IGLC2,IGHM,IGLC3,HLA-DRA,CD74,CD79A,CD37,IGHD
0.22026101,12.546698,CD4+ T activated,JUN,IL7R,KLRB1,S100A11,AHNAK,ITGB1,SYNE2,MALAT1
-6.2381387,5.653391,CD4+ T naive,JUNB,GPR183,AL499604.1,CD69,HBA2,TNFAIP3,H1FX,JUN
-7.5351954,5.093089,CD4+ T naive,IRF1,ARL4C,JUNB,MARCKSL1,HIST1H4C,HBM,ZFP36,ZFP36L1
