UMAP 1,UMAP 2,cell_type,gene_0,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6,gene_7
6.831128,-17.00332,Naive CD20+ B IGKC+,IGKC,HLA-DRA,CD74,IGHM,CD79A,HLA-DRB1,IGHD,HLA-DPB1
12.246034,5.748503,CD14+ Mono,LYZ,S100A8,S100A9,CTSS,NEAT1,JUN,FCN1,HIST1H4C
6.2810245,-16.256104,Naive CD20+ B IGKC+,IGKC,IGHM,CD74,HLA-DRA,JUN,IGHD,CD79B,HLA-DRB1
4.232694,18.139061,Reticulocyte,MALAT1,HBD,HBB,HBA2,HBA1,HBM,TMSB10,AHSP
-2.781501,15.760573,Normoblast,HBD,SLC25A37,AHSP,HBM,HBB,SLC4A1,HBA1,TMSB10
14.767164,5.0893097,CD14+ Mono,S100A9,S100A8,LYZ,CTSS,FCN1,PSAP,TYROBP,CST3
-14.8977585,-2.4380546,CD4+ T naive,FOS,ARL4C,MALAT1,IL7R,JUNB,TRBC2,TNFAIP3,BCL11B
-3.0154257,16.01909,Normoblast,SLC25A37,HBD,HBM,SLC4A1,HBB,AHSP,HBA1,TMSB10
-2.1160316,12.673736,Erythroblast,HBD,HBB,HBM,AHSP,HBA1,CA1,HBA2,TMSB10
-14.399128,-4.3830414,CD4+ T naive,FOSB,FOS,JUNB,TRBC1,IL7R,TNFAIP3,AL499604.1,S100A11
5.8023806,-16.14288,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,CD74,HLA-DRB1,HLA-DPB1,IGHD,CD79B
-0.31448805,0.10183519,NK,GNLY,NKG7,CCL4,JUN,TYROBP,HIST1H4C,IRF1,FOS
8.784397,-11.63322,Naive CD20+ B IGKC-,IGHM,HLA-DRA,CD74,FOS,IGLC2,MS4A1,JUN,CD37
0.34004852,-1.5520831,NK,CCL4,GNLY,GZMB,KLRB1,JUN,TYROBP,NKG7,CCL3
5.425391,-16.015202,Naive CD20+ B IGKC+,IGKC,IGHM,CD74,HLA-DRA,HLA-DRB1,HLA-DPB1,CD79A,CD79B
-10.730202,-1.2298149,CD4+ T activated,MALAT1,SAT1,PRKCQ-AS1,BCL11B,PCED1B-AS1,CRYBG1,ARL4C,KLF6
4.7406425,18.328108,Reticulocyte,HBD,MALAT1,TPT1,HBB,HBA1,HBA2,CA1,TMSB10
-14.494005,-2.4150538,CD4+ T naive,JUNB,PCED1B-AS1,MALAT1,ID2,PRKCQ-AS1,IL7R,CD69,TRAT1
7.0863295,-11.887909,Naive CD20+ B IGKC-,IGLC3,IGLC2,HLA-DRA,IGHM,CD74,HLA-DPB1,CD79A,IGHD
-8.85397,-3.3817863,CD4+ T activated,CRIP1,IL7R,TRBC2,ITGB1,AHNAK,S100A11,JUN,CD2
-12.833133,-4.34624,CD4+ T naive,AL499604.1,BCL11B,TRBC2,SAT1,TNFAIP3,MALAT1,GPR183,IL7R
